,city,lattitude,longitude,temperature,humidity,clouds,wind
0,Kapaa,22.08,-159.32,85.42,55,75,12.75
1,Fairbanks,64.84,-147.72,57.43,39,75,8.05
2,Carnarvon,-30.97,22.13,46.42,37,0,11.1
3,Seminole,32.72,-102.64,98.47,17,1,10.29
4,Leningradskiy,69.38,178.42,44.98,86,0,10.36
5,Saskylakh,71.97,114.09,62.26,68,35,6.6
6,Rome,41.89,12.48,72.45,43,0,6.93
7,Butaritari,3.07,172.79,81.52,77,100,11.07
8,Nouakchott,18.08,-15.98,77.0,83,0,12.75
9,Fort Nelson,58.81,-122.69,44.6,93,90,2.24
10,Belyy Yar,53.6,91.39,59.0,82,0,4.47
11,Codrington,-28.95,153.24,56.97,44,0,6.93
12,Chum Phae,16.54,102.1,73.96,92,100,3.4
13,Norman Wells,65.28,-126.83,50.0,53,75,5.82
14,Ust-Kuyga,70.0,135.55,69.46,45,80,5.79
15,Taltal,-25.41,-70.49,50.38,87,1,4.05
16,Darhan,49.49,105.92,50.38,89,100,5.88
17,Vestmannaeyjar,63.44,-20.27,50.56,74,6,15.55
18,Senno,57.76,27.95,64.4,68,86,4.47
19,Mahebourg,-20.41,57.7,68.58,94,75,2.24
20,Avarua,-21.21,-159.78,78.8,78,14,9.17
21,Saint-Philippe,45.36,-73.48,80.96,57,40,4.7
22,Robertsport,6.75,-11.37,75.94,90,97,6.06
23,Bulgan,48.81,103.53,44.8,95,100,4.83
24,Rikitea,-23.12,-134.97,74.14,83,92,6.8
25,Cidreira,-30.17,-50.22,47.86,90,40,5.82
26,Pevek,69.7,170.27,42.28,93,54,4.92
27,Lompoc,34.64,-120.46,72.18,60,1,12.75
28,Busselton,-33.64,115.35,40.89,76,0,9.98
29,Fortuna,40.6,-124.16,63.64,72,75,16.11
30,Saint George,39.45,22.34,67.87,68,0,0.69
31,Sargatskoye,55.6,73.49,49.12,82,17,6.98
32,Mitsamiouli,-11.38,43.28,75.58,77,4,17.52
33,Ayan,38.23,44.7,58.48,36,39,3.65
34,Pomabamba,-8.82,-77.46,43.0,79,17,7.05
35,Cape Town,-33.93,18.42,54.5,87,0,9.17
36,Nouadhibou,20.93,-17.03,73.4,88,33,10.29
37,Lebu,8.96,38.73,59.0,87,75,2.24
38,Hermanus,-34.42,19.24,47.14,94,0,1.99
39,Juneau,58.3,-134.42,59.77,29,75,6.93
40,Dzhebariki-Khaya,62.22,135.8,56.68,69,100,1.1
41,Hithadhoo,-0.6,73.08,84.04,68,100,8.39
42,Santa Maria,-16.02,-48.01,75.54,30,0,3.36
43,Novopskov,49.54,39.1,64.6,79,16,6.29
44,Hyeres,43.12,6.14,71.87,88,0,13.8
45,Bethel,60.79,-161.76,52.68,66,90,6.93
46,Maceio,-9.67,-35.74,71.6,88,0,3.36
47,Port Lincoln,-34.72,135.86,56.86,73,59,20.85
48,Pasni,25.26,63.48,80.44,76,48,4.34
49,Mar del Plata,-46.43,-67.52,36.16,46,0,5.55
50,Lubumbashi,-11.66,27.48,54.88,43,0,8.03
51,Saldanha,41.42,-6.55,61.36,66,59,4.36
52,Inndyr,67.03,14.03,53.24,93,75,6.93
53,Ushuaia,-54.81,-68.31,37.4,69,0,3.36
54,Bluff,-23.58,149.07,60.1,25,0,9.51
55,Trat,12.25,102.51,86.79,82,67,2.44
56,Punta Arenas,-53.16,-70.91,37.2,86,0,6.93
57,Tonantins,-2.86,-67.77,80.44,60,20,2.62
58,Hofn,64.25,-15.21,31.48,83,18,8.08
59,Kahului,20.89,-156.47,82.18,55,40,21.92
